"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.807521167E0,1.061864230E-1,1.123250127E-3,-1.837838352E-2
1.817477167E0,1.152188363E-1,3.156531662E-2,-8.149966121E-2
1.827433167E0,1.147406071E-1,2.263194054E-2,-9.253335714E-2
1.837389167E0,5.010069788E-2,1.888913780E-2,-6.761369348E-2
1.847345167E0,4.036435291E-2,1.105883896E-2,-4.896458387E-3
1.857301708E0,3.719541784E-2,-1.036682099E-2,5.385928810E-2
1.867257708E0,5.297233857E-2,1.115151733E-2,1.156912547E-1
1.877213708E0,4.682592820E-2,7.198799551E-3,1.174962902E-1
1.887169708E0,1.905114222E-2,-4.623685777E-3,1.059223115E-1
1.897125708E0,4.170058787E-2,-3.094872773E-2,1.229646063E-1
1.907081708E0,6.845920086E-2,-9.102652967E-3,1.133576310E-1
1.917036708E0,7.216224253E-2,2.576838702E-2,9.304440379E-2
1.926992708E0,7.897198297E-2,2.206651479E-2,4.127491057E-2
1.936948708E0,9.914301317E-2,3.835656524E-2,-2.242056370E-2
1.946904708E0,9.712385997E-2,6.196148247E-2,-6.611329794E-2
1.956860708E0,6.200193789E-2,5.895484418E-2,-2.273748279E-2
1.966816708E0,5.377139714E-2,3.333585352E-2,2.939570725E-2
1.976772708E0,3.961934455E-2,-7.126586437E-3,1.018187356E-1
1.986728708E0,2.726004828E-2,-4.554279327E-2,1.604727405E-1
1.996684708E0,3.659772277E-2,-4.820239931E-2,1.927207196E-1
2.006640708E0,7.731583223E-2,-3.520345420E-2,1.735143703E-1
2.016596708E0,6.922460139E-2,-1.187627971E-2,1.059725976E-1
2.026552708E0,7.725443646E-2,-1.180845201E-2,9.328647852E-3
2.036507708E0,9.133570120E-2,-3.096188396E-2,-2.892851472E-2
2.046463708E0,7.876784205E-2,-2.580610156E-2,1.697154343E-2
2.056419708E0,9.293136980E-2,-1.625116646E-2,6.257046998E-2
2.066375708E0,7.018595673E-2,2.423670888E-4,1.211771125E-1
2.076331708E0,8.022584528E-2,4.555858076E-3,1.426323009E-1
2.086287708E0,1.163095612E-1,1.106000841E-3,1.432819265E-1
2.096243708E0,1.073660256E-1,-1.854999930E-2,1.009322977E-1
2.106199708E0,9.995102528E-2,-4.988084257E-2,1.222588474E-1
2.116155708E0,7.579376545E-2,-5.392273039E-2,1.039143777E-1
2.126111708E0,1.055108137E-1,-9.045496434E-2,5.899431288E-2
2.136067708E0,1.456925873E-1,-9.597649008E-2,4.012067020E-2
2.146023708E0,1.538968156E-1,-6.618872702E-2,-1.057059646E-2
2.155978708E0,1.249212308E-1,-5.259248883E-2,-5.152507961E-2
2.165934708E0,1.312632671E-1,-3.870622873E-2,-3.876703978E-4
2.175890708E0,1.463492297E-1,-2.268105716E-2,-6.537771821E-3
2.185846708E0,1.052968787E-1,-3.405067563E-2,-4.820269167E-2
2.195802708E0,5.466262244E-2,-6.016580254E-2,-7.393745720E-2
2.205758708E0,2.631612495E-2,-6.073970675E-2,-5.861365914E-2
2.215714708E0,1.664855786E-2,-3.325136125E-2,-4.715136230E-2
2.225670708E0,4.129406020E-2,-6.774584055E-3,8.097808957E-3
2.235626708E0,6.379114933E-2,-6.840949953E-3,9.848523796E-2
2.245582708E0,7.065314926E-2,-2.035211116E-2,1.167735744E-1
2.255538708E0,4.163137145E-2,-4.539076567E-2,1.543115294E-1
2.265493708E0,4.760269426E-2,-3.269441396E-2,1.284954876E-1
2.275449708E0,-2.776184902E-3,8.735740185E-3,5.737872720E-2
2.285405708E0,5.362832308E-2,-2.162943542E-2,-4.806060433E-2
